CLN,TUBSUR,Clean tub and surround,
,,,
CAB,LOW,Cabinets lower base units,
CAB,GALLEY,Add for galley rail per LF,
CAB,KNPL,Cabinet knob or pull,
CAB,PLY+,"Cabinet panels - side, end, or back - High grade",
CLN,LOW,Clean cabinetry - lower - inside and out,
PNT,LOW,Seal & paint cabinetry - lower - inside and out,
,,,
FCC,AV,Carpet,
CLN,COVE,Clean carpet cove (wall wrap),
CLN,COVE,Clean carpet cove (wall wrap) - Light,
CLN,CCPC,Re-apply protective coating on carpet,
CLN,CCSTN,Clean and deodorize carpet - heavy staining,
FCC,PAD,Carpet pad,
FCC,PAD-,Carpet pad - Standard grade,
FCC,PAD+,Carpet pad - High grade,
FCC,PAD++,Carpet pad - Premium grade,
,,,
DOR,AV,Interior door unit,
PNT,DORSP,Seal & paint door slab only (per side),
FNC,C>,"Casing - 3 1/4""",
CLN,OP,Clean door / window opening (per side),
PNT,OP,Paint door or window opening - 2 coats (per side),
FNH,DORH,Door knob - interior,
PNT,DOR,Paint door slab only - 2 coats (per side),
CLN,DOR,Clean door (per side),
CLN,DORH,Clean door hardware,
FNC,C,"Casing - 2 1/4""",
PNT,DORS,Stain & finish door slab only (per side),
PNT,BP1SP,Seal/Paint bypass door set - slab only- 2 coats (per side),
FNH,DBX,Door lockset & deadbolt - exterior,
FNH,DORHRS,Door knob/lockset - Detach & reset,
,,,
DRY,ACT,Acoustic ceiling tile,
ACT,FUR,Acoustic ceiling tile furring,
CLN,ACT,Clean acoustic ceiling tile,
CLN,ACT-,Clean acoustic ceiling tile - Light,
CLN,ACT+,Clean acoustic ceiling tile - Heavy,
PNT,ACT,Seal & paint acoustic ceiling tile,
,,,
APM,DRYG,Dryer - Gas,
HVC,DVENTHD,Clothes dryer vent cover,
HVC,DVENT,Clothes dryer vent - installed,
CLN,DVENT,Clean dryer vent,
HVC,DVENTBX,Clothes dryer vent box - recessed,
,,,
APP,DW,Dishwasher,
APP,DWR,Dishwasher - Reset,
CLN,DWX,Clean dishwasher - exterior,
CLN,DW,Clean dishwasher - interior and exterior,
WTR,DWD,Dishwasher - Detach,
APP,DWSUP,Dishwasher supply line - material only,
,,,
APP,MWS,Microwave oven - over range w/built-in hood,
CHF,MWC,Clean microwave cart,
CLN,MW,Clean microwave - over range - interior and exterior,
CLN,MWX,Clean microwave - over range - exterior,
,,,
APP,HD,Range hood,
CLN,HD,Clean range hood,
APP,HDRS,Range hood - Detach & reset,
CLN,HDC,Clean range hood - Commercial,
APP,HDI,Range hood - add on cost for ceiling mount/island hood,
,,,
APP,WAS,Washing Machine,
APP,WAST,Washer/Washing Machine - Top-loading,
APP,WAST+,Washer/Washing Machine - Top-loading - High grade,
APM,WASF,Washer / Washing machine - Front-loading,
APM,WASF+,Washer / Washing machine - Front-loading - High grade,
APM,WAST,Washer / Washing machine - Top-loading,
APM,WAST+,Washer / Washing machine - Top-loading - High grade,
APM,WDCE,Washer / Washing machine & dryer combo - Electric,
APM,WDCG,Washer / Washing machine & dryer combo - Gas,
APP,WASF,Washer/Washing Machine - Front-loading,
APP,WASF+,Washer/Washing Machine - Front-loading - High grade,
,,,
CAB,CT,Countertop,
CLN,CTF,Clean countertop,
TIL,CTTLB,Add-on for tile backsplash installation,
CAB,CTMITER,Add-on for mitered corner (Countertop),
CAB,CTFSPL4,"4"" backsplash for flat laid countertop",
CAB,CTFSPL6,"6"" backsplash for flat laid countertop",
CLN,CTTL,Clean countertop - tile,
CAB,CTCONE,Add on concrete countertop - edge treatment,
CAB,CTFSP4H,"4"" backsplash for flat laid countertop - Solid hardwood",
CAB,CTFSP6H,"6"" backsplash for flat laid countertop - Solid hardwood",
,,,
LIT,BAR,Light bar,
CLN,BAR,Clean light bar,
CLN,BAR,Clean light bar - Small,
CLN,BAR,Clean light bar - Large,
,,,
CAB,UP,Cabinet upper wall unit,
CLN,UP,Clean cabinetry - upper - inside and out,
CLN,UPF,Clean cabinetry - upper - faces only,
PNT,UP,Seal & paint cabinetry - upper - inside and out,
PNT,UPF,Seal & paint cabinetry - upper - faces only,
CAB,UPRS,Cabinetry - upper (wall) units - Detach & reset,
PNT,UPFS,Stain & finish cabinetry - upper - faces only,
PNT,UPS,Stain & finish cabinetry - upper - inside and out,
,,,
CAB,VAN,Vanity,
CLN,VAN,Clean vanity - inside and out,
CLN,VANF,Clean vanity - faces only,
PNT,VAN,Seal & paint vanity - inside and out,
PNT,VANF,Seal & paint vanity - faces only,
,,,
DOR,BI,Bifold doors,
CLN,BF,Clean door - bifold set (per side),
CLN,BF<,Clean door - bifold - single (per side),
PNT,BFS,Stain & finish bifold door set - slab only - (per side),
PNT,BFS<,Stain & finish single bifold door - slab only - (per side),
PNT,BFSP,Seal & paint bifold door set - slab only (per side),
PNT,BFSP<,Seal & paint single bifold door - slab only (per side),
,,,
DOR,X,Exterior Door,
PNT,XDOR,Prime & paint door slab only - exterior (per side),
FNH,DORHX,Door lockset - exterior,
CLN,X,Clean exterior door (per side),
FNH,DBX,Door lockset & deadbolt - exterior,
FNH,DBXRS,Door lockset & deadbolt - exterior - Detach & reset,
DOR,XRETRO,Additional charge for a retrofit exterior door,
DOR,XRETRO>,Additional charge for a retrofit exterior door - large,
DOR,XRETR+,Additional charge for a retrofit exterior door - difficult,
PNT,FRXS,Stain & finish French door slab only - exterior (per side),
,,,
ELE,OSCOV,Electrical outlet or switch,
ELE,110,"110 volt copper wiring run, box and outlet",
ELE,OLR,Phone/low voltage outlet rough-in,
MSD,OHC,Outlet hole - cut into mirror,
SDG,VINYLB,Light/outlet J-block - vinyl,
WPR,OS,Additional labor charge to cover outlet/switch plates,
ELE,OSBOX,Outlet box - includes 4 connectors and plaster ring,
,,,
FCV,AV,Snap lock laminate flooring,
CLN,F,"Clean floor, strip & wax",
CLN,F-,Clean floor,
FCV,PREP,Floor preparation for resilient flooring,
PNT,MASKFL,Floor protection - self-adhesive plastic film,
PNT,MASKSF>,Floor protection - plastic and tape - 10 mil,
,,,
LIT,AV,Light fixture,
PNT,MASKL,Mask and cover large light fixture,
PNT,MASKL-,Mask and cover light fixture,
CLN,LIT,Clean light fixture,
CLN,LIT+,Clean light fixture - high detail,
CLN,FL,Clean light fixture - fluorescent,
CLN,BATH,Clean bathroom fixtures,
LIT,AVC,Light fixture (cover only) - medium size,
LIT,AVC<,Light fixture (cover only) - small size,
LIT,AVC>,Light fixture (cover only) - large size,
,,,
LIT,HG,Hanging  light fixture,
CLN,LIT,Clean light fixture,
CLN,LIT+,Clean light fixture - high detail,
PNT,MASKL,Mask and cover large light fixture,
PNT,MASKL-,Mask and cover light fixture,
CLN,CHAN,Clean chandelier,
CLN,CHAN++,Clean chandelier - with crystal,
,,,
LIT,R,Recessed lights,
CLN,LIT,Clean light fixture,
CLN,LIT+,Clean light fixture - high detail,
PNT,MASKL,Mask and cover large light fixture,
PNT,MASKL-,Mask and cover light fixture,
,,,
PLM,PSNK,Pedestal sink,
CLN,SNKPE,Clean sink - pedestal,
PLM,PSNKRS,Pedestal sink - Detach & reset,
CLN,SNKPFA,Clean sink and faucet - pedestal,
,,,
PLM,TLT,Toilet,
CLN,TLT,Clean toilet,
PLM,TLTRS,Toilet - Detach & reset,
PLM,TLTS,Toilet seat,
PLM,TLTFL,Toilet flange,
CLN,TLTS,Clean toilet seat,
FNH,TP,Toilet paper holder,
PLM,PLUG,"Toilet/sink/drain plug - disposable - up to 4""",
PLM,TLTP,Add-on for pressure assisted toilet,
,,,
PLM,TUBS,Tub and shower combination,
CLN,TSFA,Clean tub / shower faucet,
PLM,FLD,Floor drain - tub/shower - metal/plastic,
PLM,TSFAURS,Tub/shower faucet - Detach & reset,
CLN,TUB,Clean tub,
PNT,TUB,Refinish bathtub,
MSD,SDOR,Shower door,
PLM,SWFAU,Shower faucet,
PLM,SWRB,Shower base,
PLM,SWRPAN,Shower pan,
CLN,TUBSUR,Clean tub and surround,
CLN,SDOR,Clean shower door,
FNH,SROD,Shower curtain rod,
TBA,SB,Shower bench,
,,,
PLM,WH,Water heater,
CLN,WH,Clean water heater,
APP,WL,"Appliance water line - 1/4""",
MSK,WHDOR,Access door - water heater in mobile home,
FRM,WHPF,Water heater platform - wood frame,
PLM,WHB,Water heater blanket,
PLM,WHR,Water heater - Reset,
WTR,WHD,Water heater - Detach,
PLM,WHPAN,Water heater overflow drain pan,
PLM,WHPFM,Water heater platform - metal,
,,,
WDV,,Vinyl window,
WDR,SCRN,"Window screen, 10 - 16 SF",
WDR,SCRN>,"Window screen, 17 - 25 SF",
PNT,DORT,Paint door/window trim & jamb - 2 coats (per side),
WDT,RU,Window shade - roll up,
WDT,HWRS,Window drapery - hardware - Detach & reset,
CLN,SCRN,Clean window screen,
CLN,STOL,Clean window stool & apron,
FNC,STOL,Window stool & apron,
PNT,OP,Paint door or window opening - 2 coats (per side),
PNT,SILL,Seal & paint window sill,
WDR,GRID,Add on for grid (double or triple pane windows),
WDT,BLNDRS,Window blind - horizontal or vertical - Detach & reset,
WDT,HW,Window drapery - hardware,
WDT,BLN1,"Window blind - PVC - 1"" - 7.1 to 14 SF",
WDT,BLN1>,"Window blind - PVC - 1"" - 14.1 to 20 SF",
FNC,SILLH,Window sill - hardwood,
FNH,WLOCK,Window locks,
PNT,WGRID,Paint wood window grid,
SDG,WDWRAP,Wrap wood window frame & trim with aluminum sheet,
SDG,WDWRAP>,Wrap wood window frame & trim with aluminum sheet - Large,
FNC,WS,Window seat - paint grade,
FNC,WS+,Window seat - hardwood,
